instance 	 Gamma 	 status 	 objbound 	 objval 	 mipgap 	 runtime 
j308_1 	 5 	 2 	 67.00 	 67.00 	 0.0000 	 1.36 
j308_1 	 7 	 2 	 68.00 	 68.00 	 0.0000 	 4.44 
j308_2 	 3 	 2 	 64.00 	 64.00 	 0.0000 	 0.59 
j308_2 	 5 	 2 	 71.00 	 71.00 	 0.0000 	 1.18 
j308_2 	 7 	 2 	 77.00 	 77.00 	 0.0000 	 1.56 
j308_3 	 3 	 2 	 66.00 	 66.00 	 0.0000 	 0.62 
j308_3 	 5 	 2 	 73.00 	 73.00 	 0.0000 	 1.49 
j308_3 	 7 	 2 	 79.00 	 79.00 	 0.0000 	 2.23 
j308_4 	 3 	 2 	 61.00 	 61.00 	 0.0000 	 0.36 
j308_4 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 0.97 
j308_4 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 3.81 
j308_5 	 3 	 2 	 73.00 	 73.00 	 0.0000 	 0.69 
j308_5 	 5 	 2 	 80.00 	 80.00 	 0.0000 	 0.99 
j308_5 	 7 	 2 	 85.00 	 85.00 	 0.0000 	 2.85 
j308_6 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 0.63 
j308_6 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 1.61 
j308_6 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 1.72 
j308_7 	 3 	 2 	 53.00 	 53.00 	 0.0000 	 0.40 
j308_7 	 5 	 2 	 59.00 	 59.00 	 0.0000 	 0.98 
j308_7 	 7 	 2 	 62.00 	 62.00 	 0.0000 	 1.75 
j308_8 	 3 	 2 	 66.00 	 66.00 	 0.0000 	 0.73 
j308_8 	 5 	 2 	 73.00 	 73.00 	 0.0000 	 1.65 
j308_8 	 7 	 2 	 78.00 	 78.00 	 0.0000 	 1.71 
j308_9 	 3 	 2 	 51.00 	 51.00 	 0.0000 	 0.71 
j308_9 	 5 	 2 	 57.00 	 57.00 	 0.0000 	 1.26 
j308_9 	 7 	 2 	 60.00 	 60.00 	 0.0000 	 2.30 
j308_10 	 3 	 2 	 81.00 	 81.00 	 0.0000 	 0.82 
j308_10 	 5 	 2 	 89.00 	 89.00 	 0.0000 	 1.29 
j308_10 	 7 	 2 	 96.00 	 96.00 	 0.0000 	 1.99 
j309_1 	 3 	 9 	 69.00 	 106.00 	 0.3491 	 1200.01 
j309_1 	 5 	 9 	 77.00 	 105.00 	 0.2667 	 1200.01 
j309_1 	 7 	 9 	 82.00 	 128.00 	 0.3594 	 1200.02 
j309_2 	 3 	 9 	 61.00 	 120.00 	 0.4917 	 1200.01 
j309_2 	 5 	 9 	 65.00 	 139.00 	 0.5324 	 1200.02 
j309_2 	 7 	 9 	 68.00 	 inf 	 inf 	 1200.01 
j309_3 	 3 	 9 	 70.00 	 90.00 	 0.2222 	 1200.01 
j309_3 	 5 	 9 	 70.00 	 101.00 	 0.3069 	 1200.01 
j309_3 	 7 	 9 	 83.00 	 115.00 	 0.2783 	 1200.05 
j309_4 	 3 	 9 	 67.00 	 99.00 	 0.3232 	 1200.02 
j309_4 	 5 	 9 	 76.00 	 102.00 	 0.2549 	 1200.02 
j309_4 	 7 	 9 	 80.00 	 110.00 	 0.2727 	 1200.02 
j309_5 	 3 	 9 	 68.00 	 88.00 	 0.2273 	 1200.03 
j309_5 	 5 	 9 	 74.00 	 102.00 	 0.2745 	 1200.02 
j309_5 	 7 	 9 	 78.00 	 106.00 	 0.2642 	 1200.02 
j309_6 	 3 	 9 	 61.00 	 81.00 	 0.2469 	 1200.03 
j309_6 	 5 	 9 	 69.00 	 87.00 	 0.2069 	 1200.02 
j309_6 	 7 	 9 	 72.00 	 105.00 	 0.3143 	 1200.02 
j309_7 	 3 	 9 	 55.00 	 86.00 	 0.3605 	 1200.02 
j309_7 	 5 	 9 	 61.00 	 101.00 	 0.3960 	 1200.03 
j309_7 	 7 	 9 	 63.00 	 120.00 	 0.4750 	 1200.02 
j309_8 	 3 	 9 	 73.00 	 115.00 	 0.3652 	 1200.01 
j309_8 	 5 	 9 	 81.00 	 146.00 	 0.4452 	 1200.02 
j309_8 	 7 	 9 	 87.00 	 151.00 	 0.4238 	 1200.04 
j309_9 	 3 	 9 	 51.00 	 83.00 	 0.3855 	 1200.01 
j309_9 	 5 	 9 	 57.00 	 98.00 	 0.4184 	 1200.02 
j309_9 	 7 	 9 	 59.00 	 100.00 	 0.4100 	 1200.02 
j309_10 	 3 	 9 	 77.00 	 113.00 	 0.3186 	 1200.02 
j309_10 	 5 	 9 	 85.00 	 114.00 	 0.2544 	 1200.02 
j309_10 	 7 	 9 	 92.00 	 131.00 	 0.2977 	 1200.02 
j3010_1 	 3 	 2 	 56.00 	 56.00 	 0.0000 	 16.00 
j3010_1 	 5 	 2 	 61.00 	 61.00 	 0.0000 	 18.87 
j3010_1 	 7 	 2 	 64.00 	 64.00 	 0.0000 	 44.46 
j3010_2 	 3 	 9 	 69.00 	 70.00 	 0.0143 	 1200.01 
j3010_2 	 5 	 9 	 77.00 	 78.00 	 0.0128 	 1200.02 
j3010_2 	 7 	 9 	 81.00 	 83.00 	 0.0241 	 1200.02 
j3010_3 	 3 	 9 	 76.00 	 77.00 	 0.0130 	 1200.01 
j3010_3 	 5 	 9 	 85.00 	 86.00 	 0.0116 	 1200.02 
j3010_3 	 7 	 9 	 92.00 	 93.00 	 0.0108 	 1200.02 
j3010_4 	 3 	 9 	 72.00 	 73.00 	 0.0137 	 1200.01 
j3010_4 	 5 	 9 	 80.00 	 81.00 	 0.0123 	 1200.01 
j3010_4 	 7 	 9 	 84.00 	 86.00 	 0.0233 	 1200.02 
j3010_5 	 3 	 9 	 54.00 	 55.00 	 0.0182 	 1200.02 
j3010_5 	 5 	 2 	 60.00 	 60.00 	 0.0000 	 924.66 
j3010_5 	 7 	 9 	 63.00 	 64.00 	 0.0156 	 1200.03 
j3010_6 	 3 	 9 	 53.00 	 58.00 	 0.0862 	 1200.01 
j3010_6 	 5 	 9 	 59.00 	 64.00 	 0.0781 	 1200.02 
j3010_6 	 7 	 9 	 62.00 	 68.00 	 0.0882 	 1200.02 
j3010_7 	 3 	 2 	 63.00 	 63.00 	 0.0000 	 146.33 
j3010_7 	 5 	 2 	 71.00 	 71.00 	 0.0000 	 71.54 
j3010_7 	 7 	 2 	 76.00 	 76.00 	 0.0000 	 344.24 
j3010_8 	 3 	 9 	 63.00 	 68.00 	 0.0735 	 1200.02 
j3010_8 	 5 	 9 	 71.00 	 76.00 	 0.0658 	 1200.01 
j3010_8 	 7 	 9 	 77.00 	 81.00 	 0.0494 	 1200.02 
j3010_9 	 3 	 2 	 64.00 	 64.00 	 0.0000 	 3.33 
j3010_9 	 5 	 2 	 72.00 	 72.00 	 0.0000 	 3.66 
j3010_9 	 7 	 2 	 75.00 	 75.00 	 0.0000 	 20.42 
j3010_10 	 3 	 2 	 54.00 	 54.00 	 0.0000 	 693.05 
j3010_10 	 5 	 2 	 60.00 	 60.00 	 0.0000 	 239.73 
j3010_10 	 7 	 2 	 63.00 	 63.00 	 0.0000 	 821.87 
j3011_1 	 3 	 2 	 68.00 	 68.00 	 0.0000 	 197.43 
j3011_1 	 5 	 2 	 75.00 	 75.00 	 0.0000 	 13.19 
j3011_1 	 7 	 2 	 80.00 	 80.00 	 0.0000 	 36.49 
j3011_2 	 3 	 2 	 71.00 	 71.00 	 0.0000 	 8.76 
j3011_2 	 5 	 2 	 79.00 	 79.00 	 0.0000 	 18.94 
j3011_2 	 7 	 2 	 84.00 	 84.00 	 0.0000 	 13.85 
j3011_3 	 3 	 2 	 96.00 	 96.00 	 0.0000 	 3.14 
j3011_3 	 5 	 2 	 104.00 	 104.00 	 0.0000 	 3.32 
j3011_3 	 7 	 2 	 112.00 	 112.00 	 0.0000 	 2.21 
j3011_4 	 3 	 2 	 78.00 	 78.00 	 0.0000 	 34.60 
j3011_4 	 5 	 2 	 86.00 	 86.00 	 0.0000 	 96.71 
j3011_4 	 7 	 2 	 94.00 	 94.00 	 0.0000 	 233.41 
j3011_5 	 3 	 9 	 62.00 	 63.00 	 0.0159 	 1200.01 
j3011_5 	 5 	 2 	 70.00 	 70.00 	 0.0000 	 1159.47 
j3011_5 	 7 	 9 	 74.00 	 75.00 	 0.0133 	 1200.03 
j3011_6 	 3 	 2 	 56.00 	 56.00 	 0.0000 	 6.19 
j3011_6 	 5 	 2 	 62.00 	 62.00 	 0.0000 	 11.15 
j3011_6 	 7 	 2 	 66.00 	 66.00 	 0.0000 	 14.19 
j3011_7 	 3 	 2 	 49.00 	 49.00 	 0.0000 	 19.68 
j3011_7 	 5 	 2 	 54.00 	 54.00 	 0.0000 	 516.76 
j3011_7 	 7 	 2 	 55.00 	 55.00 	 0.0000 	 165.87 
j3011_8 	 3 	 2 	 77.00 	 77.00 	 0.0000 	 11.64 
j3011_8 	 5 	 2 	 85.00 	 85.00 	 0.0000 	 11.80 
j3011_8 	 7 	 2 	 92.00 	 92.00 	 0.0000 	 26.37 
j3011_9 	 3 	 2 	 82.00 	 82.00 	 0.0000 	 4.40 
j3011_9 	 5 	 2 	 91.00 	 91.00 	 0.0000 	 8.72 
j3011_9 	 7 	 2 	 98.00 	 98.00 	 0.0000 	 9.36 
j3011_10 	 3 	 2 	 50.00 	 50.00 	 0.0000 	 2.63 
j3011_10 	 5 	 2 	 56.00 	 56.00 	 0.0000 	 3.33 
j3011_10 	 7 	 2 	 59.00 	 59.00 	 0.0000 	 6.10 
j3012_1 	 3 	 2 	 61.00 	 61.00 	 0.0000 	 1.34 
j3012_1 	 5 	 2 	 69.00 	 69.00 	 0.0000 	 2.63 
j3012_1 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 5.21 
j3012_2 	 3 	 2 	 60.00 	 60.00 	 0.0000 	 1.51 
j3012_2 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 2.53 
j3012_2 	 7 	 2 	 71.00 	 71.00 	 0.0000 	 4.74 
j3012_3 	 3 	 2 	 49.00 	 49.00 	 0.0000 	 0.65 
j3012_3 	 5 	 2 	 55.00 	 55.00 	 0.0000 	 1.77 
j3012_3 	 7 	 2 	 57.00 	 57.00 	 0.0000 	 1.05 
j3012_4 	 3 	 2 	 78.00 	 78.00 	 0.0000 	 0.63 
j3012_4 	 5 	 2 	 87.00 	 87.00 	 0.0000 	 0.77 
j3012_4 	 7 	 2 	 93.00 	 93.00 	 0.0000 	 0.95 
j3012_5 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 0.65 
j3012_5 	 5 	 2 	 69.00 	 69.00 	 0.0000 	 0.82 
j3012_5 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 1.03 
j3012_6 	 3 	 2 	 68.00 	 68.00 	 0.0000 	 1.54 
j3012_6 	 5 	 2 	 74.00 	 74.00 	 0.0000 	 2.63 
j3012_6 	 7 	 2 	 79.00 	 79.00 	 0.0000 	 3.36 
j3012_7 	 3 	 2 	 70.00 	 70.00 	 0.0000 	 1.01 
